"bank_id","amount"
49,-575.87
56,-3610.98
94,8933.58
71,-8449.74
8,8559.6
29,7189.92
40,2338.05
89,1155.07
100,-70.89
115,-9267.3
68,2084.3
101,6669.93
53,9523.39
49,-3322.23
80,6801.29
19,-8668.75
8,-7861.41
17,8259.59
104,-1166.62
80,6625.65
103,-5264.88
38,-1724.41
29,4457.31
94,-8902.1
65,-5367.06
5,-6140.9
38,-8851.05
87,-6768.08
29,82.99
57,5823.81
41,-1259.89
71,7402.57
30,-4961.93
14,7751.6
59,-3081.41
58,-5614.44
77,805.93
15,5105.85
109,4759.44
48,-657.81
91,1785.5
11,6039.45
12,-5395.74
50,3945.11
4,-4872.02
28,902.04
51,-9936.91
77,4251.13
29,-7336.45
107,-6288.86
35,7835.14
53,8120.56
50,-5170.36
108,2456.18
57,7156.02
24,2239.96
63,9929.64
39,3154.32
113,2510.95
90,5248.81
12,-63.74
47,-9383.61
83,8728.22
99,2432.15
15,5740.63
35,-5583.04
53,9080.75
22,830.36
75,5512.33
105,-1957.41
61,2246.34
80,-1238.92
101,-3564.43
70,-2663.08
88,-9539.74
42,-3628.53
65,1931.27
60,5454.23
105,2371.89
73,4319.67
40,5297.76
31,3366.12
101,1562.49
110,-4146.79
94,1311.88
20,5080.91
1,5256.42
58,2346.28
2,-7178.41
5,6435.16
75,9831.6
31,-6101.86
52,7381.04
33,-2633.81
39,-4950.35
105,-268.49
15,-4451.38
9,3719.74
53,-2587.06
99,-9452.27
34,6104.42
6,-1996.5
109,-1392.96
60,-6590.77
76,-9880.3
4,9977.17
13,1392.46
22,-5488.74
4,-745.89
74,-1028.54
36,2250.66
38,-3620.85
68,1574.13
57,8008.39
102,-7761.99
89,3982.25
66,-7851.77
47,-804.29
94,281.78
38,-8569.51
85,7248.1
12,-1572.54
64,-9521.13
8,-938.69
37,-6291.47
15,9047.09
84,-8341.95
68,-5279.87
104,1383.41
43,-1578.17
70,5687.98
114,-5242.41
24,-6738.61
14,-569.12
74,5563.95
50,-5631.66
2,8313.9
42,-9827.45
76,-8234.37
84,6361.55
64,-3661.61
113,5978.52
1,4634.4
62,9442.99
65,-5105.13
48,1679.4
25,2361.98
33,7651.27
115,-8069.76
65,-1315.7
54,2955.35
86,5645.07
54,-9564.01
55,1850.98
107,-9562.43
114,2467.52
18,1122.68
51,-6626.76
33,-6238.93
111,-1288.99
77,-7929.2
78,2973.76
21,-3988.21
109,6846.39
58,-5040.8
49,6873.82
16,-5303.63
16,-2582.78
111,-3937.85
51,-3433.38
21,2801.6
113,-3451.78
81,8147.03
81,1065.36
2,3833.4
2,-7018.94
58,1864.25
29,5442.63
38,8338.08
66,9679.32
8,5720.97
14,2829.56
34,4787.69
5,7158.55
11,9678.18
13,8862.02
101,-5732.37
40,-8385.53
75,3119.3
4,3810.36
7,-1374.7
51,6543.26
66,-7034.67
76,1836.12
73,-8318.34
37,2415.4
103,-9881.81
80,-221.16
72,843.57
37,8998.07
52,5400.56
20,3339.35
64,-6960.78
51,-9165.76
69,4127.33
32,-1548.66
42,-6212.35
23,-5778.56
17,6410.15
15,3613.17
8,4562.6
71,-7214.08
114,-6623.29
29,-8727.0
14,-2543.8
101,4542.74
24,5831.91
89,1734.34
90,3502.93
53,-6921.06
100,3621.88
114,6962.35
2,6383.81
92,-7227.49
18,-8290.81
39,-9730.27
115,-6793.53
75,1918.04
83,5206.66
84,6945.69
97,-3369.32
70,-9613.65
103,-6172.23
100,-9623.5
109,6691.78
76,-804.09
1,1000.23
115,-8587.16
47,5028.78
98,-8536.39
7,206.69
73,-4080.18
33,3857.56
70,4516.12
104,-5142.88
34,-9736.07
115,-4281.55
69,8496.53
83,-5498.01
19,202.82
63,6632.6
72,-8172.86
64,-2470.92
42,7094.43
2,4782.99
107,7471.76
92,-8254.38
71,8100.6
101,-3849.19
21,-4735.55
54,3083.96
94,-2766.94
78,3771.92
104,-3445.52
112,6101.73
84,-1201.02
62,223.12
66,6733.67
21,-5483.32
115,7311.93
100,-7250.39
26,-7667.15
95,4986.05
46,-8333.61
111,1281.15
93,2023.14
70,8715.83
104,-8279.73
115,-5519.34
10,-594.63
98,6825.37
51,-7677.29
30,-6342.36
104,6937.94
2,-7816.04
83,-8280.21
5,-9587.73
31,6650.35
92,-1512.0
50,-285.17
50,-9270.5
100,2782.11
22,-6126.67
69,-6507.7
85,-416.52
113,2108.33
82,-6574.09
69,-6796.34
115,-1961.1
97,-9135.6
94,-8636.29
99,-5119.19
45,8892.11
29,4500.63
16,9358.03
88,-7819.32
95,3048.96
101,8759.82
98,-7154.32
98,601.34
80,773.55
31,6578.0
83,-5018.88
108,2822.85
76,-4146.78
60,8370.68
74,3886.91
26,4953.51
37,4230.61
6,1850.61
73,-9214.02
87,3687.36
65,-4258.75
10,4540.68
52,5536.15
33,-9946.57
94,8141.67
1,-3096.85
19,-1741.7
100,-9259.91
41,5451.15
8,-1430.72
91,-5984.61
27,1953.53
38,-8626.61
55,-74.46
23,2899.19
32,-1035.85
59,-8172.98
102,-8524.94
27,-6314.76
102,4396.28
41,-8825.54
100,3215.91
3,-1861.26
7,-2091.02
76,-2768.56
31,616.47
61,7857.88
2,-1937.24
113,5544.03
25,9086.91
79,-2533.07
102,-8088.75
102,-6696.85
74,8291.55
99,5318.9
104,-6828.0
112,-2469.12
44,28.22
70,3234.72
112,3564.96
12,-2646.22
25,5529.71
54,4674.04
22,-4275.42
2,9902.41
83,6022.08
22,-9892.28
20,4428.01
83,-1176.92
19,-1960.83
54,9877.08
87,-2528.64
86,-3241.03
29,1415.28
104,-1034.19
58,-294.54
72,2033.2
27,5652.71
106,-2943.15
57,-5416.57
45,2532.98
64,3348.84
73,-6831.64
40,-6399.1
2,-8557.54
101,8184.85
92,5124.61
1,4535.99
101,-3832.58
42,717.22
37,9688.59
16,6166.67
99,-9429.12
9,-6170.79
72,5589.31
106,-1052.29
10,-62.36
23,-1843.17
22,-8268.58
69,-8172.29
35,3657.78
103,-8322.04
41,4561.98
112,-7039.6
98,-728.72
86,-7479.9
56,-9657.88
33,-8051.75
78,6174.0
37,-6886.73
106,-1651.87
83,-5725.97
11,998.06
50,5358.53
9,9802.85
43,3696.78
45,3485.3
29,-4483.52
8,7011.72
67,-1281.62
83,-5262.82
57,6586.07
110,-5113.86
77,-6807.18
115,2432.03
17,-7956.55
65,-6160.46
17,-4600.76
66,9046.41
57,8777.22
64,-2210.51
77,-8543.61
46,-9800.84
80,-9341.21
49,-9748.17
16,5739.37
103,2309.22
8,-6177.67
99,-7760.56
113,2411.39
81,-431.05
89,4924.72
88,-3950.54
61,-8338.27
108,-9651.06
110,-9383.83
14,7190.64
21,904.66
99,-9079.56
21,9407.32
73,-2987.82
95,6189.11
6,1256.8
32,-2697.67
110,-8136.6
18,-5006.26
20,-652.06
92,-3615.65
13,-544.13
75,3696.43
80,7326.97
49,-7786.49
84,2411.93
60,1314.86
21,-1094.01
84,-5515.9
4,9161.89
61,-2144.44
94,-107.9
107,-3325.64
31,2420.37
48,-1438.42
83,-3125.93
102,-3860.31
104,-1049.39
94,6719.77
87,5914.33
102,6717.87
12,-4621.98
36,3079.49
87,-4603.9
50,-1764.93
52,-1901.34
43,-8512.77
53,2174.42
18,81.46
4,-698.24
13,7679.14
65,-1305.1
61,-5695.65
63,-5433.77
49,5180.75
77,-3231.32
81,1431.43
101,-5786.87
86,3306.47
22,-9738.3
97,9949.44
110,1423.42
90,-4121.98
102,8948.6
44,-4660.48
108,-7120.43
24,-5446.68
33,-7962.5
67,-5372.85
29,-855.94
61,-9835.22
113,-3178.0
85,3091.86
31,729.01
51,-2555.25
33,-6088.42
26,7685.76
55,-4589.7
30,9298.74
82,-8354.07
92,8500.46
98,4523.22
68,-3873.43
5,249.44
39,4321.25
107,8813.51
16,-4596.69
4,4632.81
53,8313.93
70,-943.82
68,7620.08
87,-1265.74
96,-8125.49
38,4103.86
66,-3301.64
32,-4266.41
81,-8191.77
45,2448.89
71,-4999.76
113,5326.14
55,122.77
83,-713.01
16,9275.4
11,3581.01
33,-7450.46
10,-6187.45
112,-6651.09
22,-4299.54
47,-5485.27
58,-7098.9
33,-8806.89
63,-2218.02
73,-8086.39
11,9189.54
19,-9156.33
21,-746.47
30,-5892.82
78,6676.35
38,5361.55
100,4894.5
76,-9208.12
109,401.34
84,-3282.27
44,346.49
20,8119.85
33,1839.19
79,5349.69
81,3426.27
106,-1948.14
63,-642.02
115,5497.95
22,-7697.58
82,1296.74
24,-5326.26
40,-5213.88
39,9693.6
110,9399.81
78,2185.84
62,4273.12
37,-5537.35
71,-9721.23
80,4715.27
7,-5414.81
101,-8699.34
102,9864.54
88,160.56
64,7165.84
73,5363.32
26,4837.38
23,-6253.4
115,9856.81
84,4454.91
10,-9807.75
67,-9350.71
8,3296.52
57,-813.41
110,-9149.21
100,-549.39
5,4055.08
115,697.2
65,-1739.83
34,-2803.08
60,1868.82
45,-2268.32
81,-427.82
79,-5986.52
57,-3067.52
75,-5938.13
86,-5232.89
72,776.34
39,-3443.33
32,-1674.25
10,-9314.58
66,1188.17
59,4283.01
4,6069.34
85,780.46
1,7808.62
24,8912.35
61,-3419.05
78,7736.23
96,-6211.61
91,8221.57
47,-3038.07
47,5555.8
67,2224.08
46,5842.0
61,-4683.8
49,-418.65
43,-8354.95
59,-6566.12
95,925.18
65,-2699.59
69,9278.14
89,-1420.95
87,8659.48
41,723.32
85,1087.31
77,5667.14
71,7468.95
59,-6048.09
60,5433.62
115,-8003.85
5,-8949.86
33,2481.39
115,9182.78
2,-8097.17
60,8947.13
27,8724.26
72,-5065.58
51,-6616.96
13,498.45
27,8976.15
113,-1873.82
44,1449.91
33,4963.28
91,-550.92
68,-181.71
59,7768.04
105,4957.15
12,2601.63
25,-2626.24
89,-5056.87
4,-1370.98
98,-7856.64
98,-2794.69
36,-6753.54
45,-8330.12
26,7228.74
74,-818.8
21,-286.99
74,6397.66
92,9485.28
7,6361.25
23,7765.92
22,6253.35
114,521.31
35,997.37
49,-8239.35
80,3243.77
78,2499.31
17,-9520.25
102,7373.09
3,8282.72
63,2600.08
12,-3157.14
3,9457.09
47,-1666.0
100,4372.45
97,-9977.94
29,-1325.45
108,3944.48
108,-9964.01
1,-9240.61
39,1962.2
68,5112.84
85,7277.39
63,5248.4
31,9752.14
80,-157.63
1,5667.29
72,8466.24
54,1292.07
103,-1622.76
7,2163.76
96,9504.55
48,4349.11
22,1504.74
83,-6956.83
104,7833.08
77,3400.4
86,-5152.11
16,-2891.96
84,492.52
84,-7361.55
70,2719.31
106,534.06
109,-3225.64
36,-4248.79
39,4018.57
18,-7126.53
32,1336.05
109,-3479.14
57,9797.97
67,-34.91
7,-3241.35
55,-9990.47
47,-5655.03
23,-7344.88
78,-138.8
24,2057.17
105,-7281.21
81,9029.71
66,-2806.27
44,6694.18
5,-9519.83
103,-9698.28
17,7493.59
35,-479.56
9,4468.0
111,8432.27
91,320.98
20,549.82
105,5104.13
109,-9621.29
27,8358.25
19,4260.62
22,161.23
13,2142.25
36,-407.56
38,-1004.29
75,-9662.03
55,2958.47
72,-4734.8
81,8519.43
25,8447.47
89,8839.02
3,6806.63
31,5713.53
2,-6827.13
93,6606.94
72,3464.77
25,-9440.24
111,-9604.5
42,-4096.97
114,4148.12
98,-9268.48
80,-6572.31
5,-7808.66
77,-3490.75
88,5319.5
72,2068.92
31,7377.12
32,-8189.19
83,-9533.65
63,-4336.58
72,-4124.09
51,-4941.99
7,-7519.35
19,4246.04
50,8714.28
65,-4856.29
105,4535.36
37,5500.18
10,-9300.93
103,2133.43
39,7966.39
82,4610.16
33,-3034.44
58,6806.23
38,4014.27
96,-4240.1
94,-5328.01
23,-3918.5
67,-9023.55
105,-4847.96
95,-4319.64
29,-2126.71
14,-5038.93
54,2963.4
81,-4405.34
99,2028.36
72,9039.99
111,305.22
75,1706.5
86,-9548.78
9,5365.71
74,541.58
20,-9420.24
58,3310.18
58,8392.48
80,8374.89
65,2979.09
88,2074.31
83,-1569.76
7,9260.77
80,-3652.52
102,749.19
40,2846.67
2,8527.14
51,-2668.46
56,8787.5
17,8404.51
2,7565.67
83,1735.55
56,-5151.05
106,-739.29
63,6887.79
19,7411.72
15,9374.69
69,-8839.32
105,-1708.4
91,1311.31
73,9320.11
75,-110.01
108,-1365.52
64,5789.74
33,-5388.37
28,7422.38
61,-240.67
28,-6362.03
15,6597.03
88,-1.01
8,217.05
69,1746.94
114,8658.14
94,-2820.12
64,-7568.0
66,-1002.38
111,4639.04
31,9359.35
2,3492.78
48,5997.01
2,-7648.13
66,-9749.82
19,6764.63
34,-2255.06
71,-6468.93
43,-5139.56
51,6450.36
55,-2862.26
71,532.41
97,-2067.73
74,2981.78
31,-8586.39
58,3590.73
69,-9235.78
77,-9032.2
43,-6000.06
104,-4712.87
36,-697.88
32,-9782.79
66,2419.51
102,-2480.84
66,-5502.8
68,-2911.88
82,7773.12
62,5221.15
111,-4923.16
98,7168.07
32,-1284.06
64,-6003.77
111,8582.96
77,-7773.17
48,-1228.79
3,4738.63
44,9638.79
52,2542.88
80,6314.59
41,4067.7
51,-6910.66
52,9734.26
108,-4526.13
3,3257.22
94,9797.21
83,-8906.49
55,-1434.88
55,-7050.9
29,-3187.14
54,-3536.25
46,5527.49
10,-1661.37
69,8310.36
29,1102.5
48,4209.03
53,-7550.11
115,-3568.95
28,-5885.46
23,3106.26
94,2847.32
28,976.82
29,-9540.56
109,1144.05
45,-2697.81
38,-9138.37
59,-8013.9
6,9936.91
42,1539.15
82,-321.48
29,-1004.62
9,4559.28
93,-1.05
15,-6024.97
106,-8163.92
5,-1493.39
107,6147.3
39,3533.54
113,1322.31
51,3980.03
86,1748.86
85,-1807.45
26,2941.36
13,-2049.65
24,4153.01
112,7664.86
2,-6210.15
70,2365.28
34,-5440.37
16,-4097.25
6,3055.72
6,9413.04
44,-1063.1
77,-7230.95
40,8026.61
91,-2497.23
64,9705.98
83,-708.4
50,-8429.69
90,-7751.17
108,-6510.27
36,-3053.71
51,7896.42
75,4198.67
39,9542.47
99,-2452.35
50,-5452.36
2,2828.82
89,-9614.87
101,-2856.56
40,8480.89
46,-6777.86
40,1726.73
109,-8168.86
81,-8211.05
1,9540.51
22,6567.17
93,-2411.48
82,7918.23
22,-8476.11
93,-3104.87
27,-1691.96
75,-7891.77
47,2067.99
16,9057.33
84,6595.3
86,-1222.37
52,-8636.88
37,6711.07
73,3179.8
33,3805.27
90,-9078.15
54,8454.13
37,-3368.38
72,8916.41
106,95.75
1,1200.21
62,-5239.23
52,-9456.59
38,-2319.87
90,-2683.95
68,-3595.35
103,2477.13
34,1580.82
77,7448.48
25,-7931.93
10,-5879.39
93,-5655.11
26,5643.67
8,-7843.36
80,8053.16
50,7008.94
39,-2125.19
34,-7391.59
91,6101.56
85,3705.45
1,-3989.1
58,-732.36
75,3555.5
68,-3695.84
94,-4117.22
74,-3012.65
36,8600.16
64,-8367.23
64,-6263.23
40,-1873.07
40,-7607.3
42,-5409.28
45,3080.06
23,-7932.98
57,-9389.83
104,1029.1
106,-3261.05
20,-9070.75
10,4222.92
34,2862.82
52,-3714.71
60,-3927.03
74,781.14
36,-5354.62
72,8143.95
1,-5571.72
111,4573.98
104,-9374.4
48,2911.94
51,-2164.65
66,6118.02
81,-8193.71
69,7115.85
65,8724.32
110,-5854.16
95,7462.9
27,5134.05
23,416.94
29,-1040.04
34,-1981.02
108,-6905.06
29,1157.06
24,7400.48
56,-5878.44
105,7855.01
102,-766.92
72,-3662.7
43,5084.88
38,-3784.02
4,-6070.79
19,3562.49
3,896.52
43,2755.15
35,-390.88
30,1462.79
107,-7410.31
87,-8968.27
78,-5970.7
36,-7649.73
109,1215.49
4,5188.17
66,-6165.32
6,-8122.02
40,-2839.39
103,2829.8
83,-437.98
71,1302.02
31,-7071.91
60,-7232.54
34,-9404.72
79,-8493.45
45,3933.79
91,-716.29
28,6585.08
106,-5930.98
13,-7807.37
1,-5203.57
39,-8183.26
36,-5682.47
14,5708.35
43,2170.2
86,-1497.74
115,-8511.61
39,-5280.63
111,8618.91
63,-3855.59
33,-529.75
37,-9158.42
