"bank_id","amount"
96,-4065.19
92,5749.68
73,1940.85
66,-2591.82
77,-5649.42
91,3459.5
65,-4526.42
90,5524.01
73,-9318.19
100,3217.97
108,-4081.61
38,1920.09
61,-7777.48
47,-1043.38
63,-67.87
28,4070.25
103,-4660.16
112,-3877.82
74,-9706.55
98,921.92
68,-3134.86
11,-870.81
69,3495.47
84,5341.29
34,-8402.69
31,-5704.36
61,1195.79
16,-6619.13
99,640.64
62,6119.95
62,3819.59
43,-4534.02
113,-8443.37
88,-2387.36
27,-7698.92
103,7668.06
29,3914.35
100,-2447.68
109,9880.74
15,-8907.8
9,-9475.63
110,6190.24
75,2600.3
19,3543.48
108,-3160.84
9,-4675.16
70,-4970.25
59,1065.0
66,2394.53
7,582.99
80,7880.08
43,5351.43
90,-3200.65
52,-2916.51
12,6465.68
49,5032.97
27,-8042.12
106,1872.14
83,2660.91
79,364.54
84,-9481.58
50,-3877.49
68,-3877.56
112,-4128.06
24,7483.3
108,4055.91
78,9464.22
32,2359.3
32,7243.23
79,-130.54
58,-5640.84
55,-110.3
33,-4728.65
88,-3682.1
42,-650.17
53,1581.26
112,-6911.69
93,-9261.13
103,-23.72
38,-4248.18
47,4088.84
113,-5348.27
61,9942.37
93,-7762.15
1,-7279.56
63,7110.09
27,1416.48
13,5790.08
108,1571.68
52,-5909.8
20,6409.33
88,4279.57
93,9265.44
1,-5568.0
36,2639.97
103,-50.31
98,2182.94
58,-8552.0
94,2192.42
75,-3713.02
106,8344.75
21,-524.14
26,-3392.09
52,6567.31
85,-3370.84
85,-9373.49
53,-3757.45
79,2059.82
13,2332.59
103,1256.85
112,-8446.69
105,836.63
102,-9290.54
19,7098.36
104,3693.86
69,7668.88
44,1381.48
73,-1619.74
5,-6345.16
34,1329.76
61,1279.37
77,9868.56
52,-3319.63
61,-202.9
72,8962.12
68,3681.87
47,3087.33
65,-1205.42
31,9134.31
70,187.07
100,2064.41
48,-8784.8
20,6626.84
9,5375.06
88,1374.94
114,-8007.65
16,-2649.53
54,5240.63
35,2823.09
11,-6186.44
64,-5162.64
106,342.73
37,-7220.57
64,-3356.1
86,-2754.38
108,-6270.43
114,-1135.17
98,-114.37
2,-8034.54
61,-1580.35
28,6746.56
101,344.0
23,-9500.56
25,3477.89
47,4395.06
42,8361.4
97,9129.57
49,9053.93
19,6875.11
82,-817.62
91,3494.99
94,-7917.29
41,7942.35
84,-6596.1
18,7838.82
21,1050.51
23,-555.62
77,1446.17
1,7794.91
92,-8082.43
8,-9516.95
107,3964.71
76,-9811.77
6,-2993.95
54,-3617.13
88,-3315.64
27,6397.75
65,-1748.13
94,3295.08
86,-9055.43
81,1675.14
68,2959.83
85,8178.1
89,-1382.66
37,580.66
13,7929.38
76,9995.69
88,-3723.75
31,-865.24
79,-3203.24
91,9180.32
12,-2303.81
20,6565.35
107,-7453.92
23,-5810.04
86,937.96
10,-2034.85
67,5972.57
107,-4468.61
23,-3039.75
20,4319.33
65,-4984.64
97,606.39
2,-4622.85
62,-375.89
21,-7293.97
81,-7896.21
91,-461.14
50,5060.18
21,-8616.09
23,-4130.84
2,1046.74
54,-1239.62
95,-7441.08
45,-207.11
113,-7764.95
94,4640.88
67,-7919.47
61,5239.72
8,345.1
73,4939.17
9,5130.24
19,552.14
66,8600.21
110,-1542.11
29,6290.75
52,-8689.31
61,6394.41
70,2315.49
95,-2309.06
27,7410.39
88,4296.29
37,8086.34
5,-8835.29
97,-2812.48
82,-6723.7
5,-5707.42
95,5364.07
61,-2516.34
46,4902.85
86,3692.69
47,-7009.53
55,-9690.99
99,-4303.63
50,-8892.53
100,-100.17
13,-6015.92
57,1112.51
9,-4742.97
22,4974.87
56,584.11
69,-5183.03
104,-3203.95
44,9264.93
30,-7877.78
32,-5508.42
35,-4164.73
95,6932.1
29,-7860.82
4,2560.21
38,-4899.48
103,5065.95
93,-3146.3
24,-9080.87
115,-3581.99
32,-9026.35
114,-4562.99
79,-1288.74
77,7099.62
82,-110.31
94,-5868.18
11,-4288.28
88,-4696.28
59,1715.98
59,-6703.02
105,-5825.23
16,4796.25
64,2950.19
47,-9037.37
91,5953.95
52,-9788.08
74,8123.96
19,-7077.74
65,-450.92
39,7908.68
96,9862.91
100,-5677.38
21,-7684.53
68,-3659.26
17,-6417.53
35,8435.96
19,-4042.34
62,9873.57
37,9314.62
105,-3729.72
80,-7034.12
13,-1996.72
36,-8197.6
91,3343.67
106,8153.77
53,-5616.83
32,-4031.57
103,-9841.97
98,549.41
62,3763.74
41,-3998.47
69,5693.96
89,-3902.56
98,483.59
42,-2552.86
58,4983.67
111,521.72
16,5946.1
57,-4971.51
23,9283.35
74,8908.53
76,-8773.01
76,3664.92
92,-6092.72
77,-3554.58
3,-4569.69
39,-3680.72
2,7833.78
96,7943.46
90,4283.04
115,6914.68
57,-3206.29
3,-9248.47
58,-6241.18
5,5394.1
5,-7799.4
29,-9337.43
21,-3206.12
12,-9526.03
6,1185.48
20,9924.78
6,6340.75
35,-1687.41
95,473.37
28,3009.14
17,1422.83
40,9776.98
55,2486.64
47,4199.52
30,1778.27
102,-2626.15
40,7643.13
52,8083.13
71,-8472.77
80,-382.71
11,304.49
31,3111.92
85,-3718.05
68,1138.72
97,1795.79
96,9213.29
56,-7291.52
100,3018.97
4,-7230.76
107,-3820.12
93,9188.96
112,1746.51
85,7300.27
109,6510.93
77,2568.84
39,-9536.4
99,-1346.91
23,3541.09
29,996.68
40,-1386.77
3,-7447.05
111,9780.44
103,-1563.29
47,5060.23
22,-4684.65
64,2126.95
113,-5492.7
59,7074.17
61,962.03
12,-4501.39
108,9313.03
59,9776.75
17,-4346.67
18,-3554.68
8,8334.72
84,-1746.65
19,1856.92
50,5921.16
57,9248.84
43,-4056.48
20,5790.81
23,2864.63
2,8027.06
104,8620.14
96,-7149.56
46,7133.91
83,5837.66
3,-7277.28
38,-5869.14
101,7461.69
34,-7283.31
51,-2992.56
77,4130.33
23,-8414.06
77,5380.18
18,433.7
50,-1695.18
76,7008.38
55,-7731.54
85,-7816.39
96,5768.94
31,-6678.36
79,-7808.23
53,2101.47
5,-6544.43
31,-4699.79
8,-1169.12
83,9072.97
44,911.63
38,-3684.82
69,6768.31
107,-7762.02
104,1683.3
27,-8023.89
21,810.97
108,9917.22
79,-4925.71
71,6299.08
49,9921.53
48,-1876.06
5,-4193.04
44,-2493.33
88,427.55
23,-9661.38
9,3993.42
63,9660.19
36,7518.03
90,-595.04
54,-3848.08
41,8770.26
92,7146.33
10,3090.26
115,-8328.4
98,6591.22
64,8864.04
111,1087.51
17,2439.77
46,-1494.27
1,8823.11
14,8432.95
40,7559.25
67,7342.23
79,-3804.02
39,-2652.37
54,-8053.1
53,3331.54
56,8503.71
62,-737.38
5,-5686.5
86,-7772.95
14,5338.36
43,-4383.75
56,1139.6
42,-2566.2
35,-5577.65
109,6023.74
73,-1047.23
103,-5474.17
87,-8208.3
93,1889.78
57,740.28
68,4910.38
36,-1281.64
97,7391.09
72,5438.16
21,-4571.43
4,2780.94
104,-4050.95
32,-7773.6
17,2465.31
47,9178.51
88,3671.49
13,-2093.52
31,8783.21
69,3414.01
23,9624.67
73,-5993.57
62,-716.28
81,8360.53
58,-6065.47
61,9836.36
71,370.46
45,-6026.53
20,-319.01
9,-1824.79
84,-9044.49
48,-5892.92
88,5601.9
50,265.09
69,-7442.62
27,-7421.3
89,8475.03
112,-8350.22
7,6224.52
112,-35.24
35,1342.27
62,-8238.21
75,-3666.54
70,2407.14
37,-1057.51
71,-3575.99
54,99.33
97,-6880.73
86,1901.18
96,8685.32
8,4883.43
97,-2451.31
69,7435.48
103,8288.79
66,-5240.7
88,9979.3
65,-142.81
63,-7077.06
7,-4632.64
2,-2690.46
10,8386.31
76,994.09
109,-4438.65
7,-7721.92
40,1522.3
15,6821.94
110,33.94
40,7615.17
61,4918.62
33,-8916.63
47,9299.59
51,-7859.75
4,6800.17
77,-8877.74
110,-6116.93
94,2538.16
70,-903.26
47,4045.5
24,-232.86
20,-7352.42
67,-4240.81
114,6233.46
86,-4310.38
64,3418.23
25,3504.46
41,2461.26
51,-4803.7
3,2418.66
41,5925.37
38,-4695.47
111,8494.67
7,-3622.73
63,-3773.85
